ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
6,"Alma-Tadema, Sir Lawrence",Male,1836â€“1912,1836,1912,"Dronrijp, Nederland","Wiesbaden, Deutschland",http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
13759,"Pak, Sheung Chuen",Male,born 1977,1977,,"Fujian, Zhonghua",,http://www.tate.org.uk/art/artists/pak-sheung-chuen-13759
649,"Andrews, Michael",Male,1928â€“1995,1928,1995,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/michael-andrews-649
6882,"Bartana, Yael",Female,born 1970,1970,,"â€˜Afula, Yisra'el",,http://www.tate.org.uk/art/artists/yael-bartana-6882
11958,"Tickle, Matthew",Male,born 1964,1964,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/matthew-tickle-11958
2095,"Vasarely, Victor",Male,1908â€“1997,1908,1997,"PÃ©cs, MagyarorszÃ¡g","Paris, France",http://www.tate.org.uk/art/artists/victor-vasarely-2095
1425,"Knights, Winifred",Female,1899â€“1947,1899,1947,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/winifred-knights-1425
2425,"Finch, Francis Oliver",Male,1802â€“1862,1802,1862,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/francis-oliver-finch-2425
1493,"Lenk, Kaspar-Thomas",Male,born 1933,1933,,"Berlin, Deutschland",,http://www.tate.org.uk/art/artists/kaspar-thomas-lenk-1493
16113,"Cohen, Lynne",Female,born 1944,1944,,"Racine, United States",,http://www.tate.org.uk/art/artists/lynne-cohen-16113
452,"Rivers, Leopold",Male,1850â€“1905,1850,1905,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/leopold-rivers-452
2096,"Vaughan, Keith",Male,1912â€“1977,1912,1977,"East Sussex, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/keith-vaughan-2096
232,"Hall, Harry",Male,?1813â€“1882,1813,1882,"Cambridge, United Kingdom","Newmarket, United Kingdom",http://www.tate.org.uk/art/artists/harry-hall-232
2402,"Horn, Roni",Female,born 1955,1955,,"New York, United States",,http://www.tate.org.uk/art/artists/roni-horn-2402
14993,"Paiva, Pedro",Male,born 1977,1977,,"Lisboa, Portugal",,http://www.tate.org.uk/art/artists/pedro-paiva-14993
